time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,0.0118226211079,0.298171115616,12.2070536929,0.0952864712935,0.0057015615862,0.0,0.0262151183364,0.711912141137,3.12396928858,0.0571578767962,0.0380715820005,0.0,461.5318532067645,458.8873519776543,460.6505848864729,458.2686472153984
1.3800000000000008,0.0132691563,0.342852712103,12.3973421698,0.0993356992344,0.00811121043655,0.0,0.0217655270154,0.777823154352,3.21865610183,0.0827004122163,0.0440412533139,0.0,445.9598429964733,446.44801824906716,444.3921001846638,446.48418272672797
1.4400000000000008,0.0144201320106,0.391312340465,12.5906845316,0.104594185503,0.0102330574485,0.0,0.0163785162088,0.837937732942,3.22599754405,0.0960355005054,0.00587726678109,0.0,419.53773787074505,416.21132402112977,417.935909496232,419.1034229250354
1.5000000000000009,0.0151591039265,0.444074057991,12.7901155309,0.110704494406,0.0105548956444,0.0,0.00822085797625,0.921404624368,3.42102582279,0.111454867871,0.00431703832311,0.0,476.68027552574847,476.5609337873061,477.2676143568357,478.45112695966037
1.560000000000001,0.0154613304262,0.501339485119,12.9954516911,0.117198060624,0.0120743205054,0.0,0.00176020407321,0.988006735304,3.42340649418,0.100834890527,0.049967899598,0.0,415.4901908829785,419.4737836334627,419.4932847071633,418.58106628842364
1.620000000000001,0.0153019376176,0.563082827231,13.2040354557,0.122788022463,0.0149400446858,0.0,-0.00737261428221,1.07065587006,3.52894576212,0.0698345077116,0.0429404130784,0.0,451.14241617777583,450.5759537148969,454.0533275581607,451.5661376145448
1.680000000000001,0.014580361053,0.629537193824,13.4160833988,0.127082876554,0.017153072061,0.0,-0.0168966168094,1.14484252043,3.53920070071,0.0748612824896,0.0206235690885,0.0,423.0888692577781,421.1636141239834,421.821148025038,422.25927455692437
1.740000000000001,0.0131086952329,0.701568243451,13.6369057822,0.1312957909,0.018215329217,0.0,-0.0322920790217,1.25661455075,3.8205049199,0.0587713090487,0.0111121690076,0.0,504.75945143831746,504.07245125884657,505.5825149073521,504.4249371075051
1.8000000000000012,0.0107672399368,0.779834549606,13.8702755262,0.134747858683,0.0193764624498,0.0,-0.0458496240553,1.35254820092,3.95791034049,0.0549394765457,0.0321449305287,0.0,463.161473698184,464.812776947104,466.03240584772595,465.7348944392904
1.8600000000000012,0.007627393269,0.863619318826,14.1096147859,0.138565778568,0.0213591416469,0.0,-0.0589965830386,1.44056524707,4.01974361923,0.0769668681168,0.0347856334744,0.0,442.6103046303593,442.82802691936746,441.68875622596613,443.50466796240073
1.9200000000000013,0.00365107983982,0.952810847889,14.3530194241,0.143220107016,0.0234740920849,0.0,-0.0737479529148,1.53287191585,4.09335031416,0.0787553186531,0.0361603054353,0.0,447.6554594726288,447.76784241944307,446.4257742522878,446.57644323400467
1.9800000000000013,-0.00134022183872,1.04815334905,14.6044389456,0.148202497609,0.0256869997156,0.0,-0.0928656075098,1.64563404009,4.28641755306,0.0904618834852,0.0382867640882,0.0,484.6435080104909,484.80382605221973,483.19870419472954,484.08543872790864
2.0400000000000014,-0.00759704415877,1.15074944659,14.869907865,0.153339227482,0.0277923395415,0.0,-0.11594949817,1.7747107097,4.56126284636,0.0735314289153,0.0277739126639,0.0,509.5045878579027,508.7527176308498,509.9108966383544,508.70482216054705
